	sample	Lane	name
0	FD_AH_001_001A	001	001_A
1	FD_AH_001_001B	001	001_B
2	FD_AH_001_002A	001	002_A
3	FD_AH_001_002B	001	002_B
4	FD_AH_001_003A	001	003_A
5	FD_AH_001_003B	001	003_B
6	FD_AH_001_004A	001	004_A
7	FD_AH_001_004B	001	004_B
8	FD_AH_001_005A	001	005_A
9	FD_AH_001_005B	001	005_B
10	FD_AH_001_006A	001	006_A
11	FD_AH_001_006B	001	006_B
12	FD_AH_001_007A	001	007_A
13	FD_AH_001_007B	001	007_B
14	FD_AH_001_010A	001	010_A
15	FD_AH_001_010B	001	010_B
16	FD_AH_002_008A	002	008_A
17	FD_AH_002_008B	002	008_B
18	FD_AH_002_009A	002	009_A
19	FD_AH_002_009B	002	009_B
20	FD_AH_002_011A	002	011_A
21	FD_AH_002_011B	002	011_B
22	FD_AH_002_012A	002	012_A
23	FD_AH_002_012B	002	012_B
24	FD_AH_002_013A	002	013_A
25	FD_AH_002_013B	002	013_B
26	FD_AH_002_014A	002	014_A
27	FD_AH_002_014B	002	014_B
28	FD_AH_002_015A	002	015_A
29	FD_AH_002_015B	002	015_B
30	FD_AH_002_016A	002	016_A
31	FD_AH_002_016B	002	016_B
