	sample	lane	name
0	FD_AH_003	1	030A
1	FD_AH_003	1	030B
2	FD_AH_003	1	031A
3	FD_AH_003	1	031B
4	FD_AH_003	1	029A
5	FD_AH_003	1	029B
6	FD_AH_003	1	021A
7	FD_AH_003	1	021B
8	FD_AH_003	1	033A
9	FD_AH_003	1	033B
10	FD_AH_003	1	034A
11	FD_AH_003	1	034B
12	FD_AH_003	1	035A
13	FD_AH_003	1	035B
14	FD_AH_003	1	036A
15	FD_AH_003	1	036B
16	FD_AH_004	2	045A
17	FD_AH_004	2	045B
18	FD_AH_004	2	046A
19	FD_AH_004	2	046B
20	FD_AH_004	2	039A
21	FD_AH_004	2	039B
22	FD_AH_004	2	040A
23	FD_AH_004	2	040B
24	FD_AH_004	2	041A
25	FD_AH_004	2	041B
26	FD_AH_004	2	042A
27	FD_AH_004	2	042B
28	FD_AH_004	2	043A
29	FD_AH_004	2	043B
30	FD_AH_004	2	044A
31	FD_AH_004	2	044B
