CLNDN	Occurrence
Hereditary_cancer-predisposing_syndrome	69511
Cardiomyopathy	15873
Breast-ovarian_cancer	15108
Limb-girdle_muscular_dystrophy	14938
Hereditary_breast_and_ovarian_cancer_syndrome	13632
Charcot-Marie-Tooth_disease	13417
Fanconi_anemia	12080
Dilated_cardiomyopathy_1G	10683
Hereditary_nonpolyposis_colorectal_neoplasms	10153
Familial_cancer_of_breast	9763
Myopathy	9398
Cardiovascular_phenotype	8382
Deafness	7946
Epileptic_encephalopathy	7585
Epilepsy	7520
Ataxia-telangiectasia_syndrome	7375
Neurofibromatosis	7280
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	6891
Primary_ciliary_dyskinesia	6634
Mental_retardation	6519
Familial_adenomatous_polyposis_1	5766
Long_QT_syndrome	5265
Retinitis_pigmentosa	5201
Inborn_genetic_diseases	5167
Hypertrophic_cardiomyopathy	5163
Early_infantile_epileptic_encephalopathy_with_suppression_bursts	5159
Tuberous_sclerosis_2	4663
History_of_neurodevelopmental_disorder	4572
Intellectual_disability	4468
Colorectal_cancer	4432
Dyskeratosis_congenita	4402
Ehlers-Danlos_syndrome	4224
Nemaline_myopathy_2	4167
Gastrointestinal_stromal_tumor	3826
Joubert_syndrome	3518
Familial_hypercholesterolemia	3481
Multiple_endocrine_neoplasia	3442
Spastic_paraplegia	3268
Ciliary_dyskinesia	3207
Spinocerebellar_ataxia	3206
Seizures	3132
Myasthenic_syndrome	3116
Marfan_syndrome	3112
Gorlin_syndrome	3057
Retinal_dystrophy	3015
Mucopolysaccharidosis	2903
Dilated_Cardiomyopathy	2894
Myofibrillar_myopathy	2883
DICER1-related_pleuropulmonary_blastoma_cancer_predisposition_syndrome	2876
Usher_syndrome	2863
Familial_hypercholesterolemia_1	2833
Duchenne_muscular_dystrophy	2826
Nephronophthisis	2815
Brugada_syndrome	2777
Charcot-Marie-Tooth_disease_type_4	2758
Microcephaly	2717
Epidermolysis_bullosa_simplex	2687
Glycogen_storage_disease	2651
Neuropathy	2627
Bethlem_myopathy_1	2607
Meckel-Gruber_syndrome	2605
Baller-Gerold_syndrome	2573
Epidermolysis_bullosa_simplex_with_nail_dystrophy	2562
Epidermolysis_bullosa_simplex_with_pyloric_atresia	2559
Catecholaminergic_polymorphic_ventricular_tachycardia	2557
Epidermolysis_bullosa_simplex_with_muscular_dystrophy	2556
Cardiac_arrhythmia	2544
Bardet-Biedl_syndrome	2508
Lynch_syndrome	2507
Rhabdoid_tumor_predisposition_syndrome_2	2447
RYR1-Related_Disorders	2366
Colorectal_cancer_10	2351
Arrhythmogenic_right_ventricular_cardiomyopathy	2350
Tuberous_sclerosis_syndrome	2342
Tibial_muscular_dystrophy	2293
Cystic_fibrosis	2179
Cohen_syndrome	2176
Alstrom_syndrome	2163
Tuberous_sclerosis_1	2071
Idiopathic_generalized_epilepsy	2058
Neuroblastoma_3	2044
Aortic_aneurysm	2027
Autosomal_recessive_polycystic_kidney_disease	1984
Hereditary_diffuse_gastric_cancer	1948
Primary_dilated_cardiomyopathy	1931
Hereditary_spastic_paraplegia	1917
Malignant_tumor_of_breast	1902
Hereditary_sensory_and_autonomic_neuropathy_type_IIA	1847
Emery-Dreifuss_muscular_dystrophy_4	1791
Bloom_syndrome	1784
Developmental_and_epileptic_encephalopathy	1772
Werner_syndrome	1740
Oligodontia-colorectal_cancer_syndrome	1707
Renal_cell_carcinoma	1665
Rasopathy	1619
Generalized_epilepsy_with_febrile_seizures_plus	1616
Tramadol_response	1610
Limb-girdle_muscular_dystrophy-dystroglycanopathy	1588
Epidermolysis_bullosa_simplex_due_to_BP230_deficiency	1581
Hyperaldosteronism	1581
Congenital_long_QT_syndrome	1564
Usher_syndrome_type_1	1544
Neuronal_ceroid_lipofuscinosis	1536
Emery-Dreifuss_muscular_dystrophy_5	1511
Spinal_muscular_atrophy	1504
LAMA2-related_muscular_dystrophy	1503
Severe_combined_immunodeficiency	1479
Malignant_hyperthermia	1458
Arrhythmogenic_right_ventricular_dysplasia_8	1442
Pheochromocytoma	1419
Dilated_cardiomyopathy_with_woolly_hair_and_keratoderma	1390
Ellis-van_Creveld_syndrome	1359
Li-Fraumeni_syndrome	1358
Idiopathic_Pulmonary_Fibrosis	1355
Pulmonary_fibrosis_and/or_bone_marrow_failure	1329
Distal_spinal_muscular_atrophy	1328
Qualitative_or_quantitative_defects_of_dysferlin	1315
Mitochondrial_complex_II_deficiency	1308
Primary_familial_hypertrophic_cardiomyopathy	1306
Muscular_dystrophy	1290
Maple_syrup_urine_disease	1282
Paragangliomas_5	1273
Norman-Roberts_syndrome	1266
Retinoblastoma	1256
Congenital_muscular_dystrophy-dystroglycanopathy_with_mental_retardation	1250
Becker_muscular_dystrophy	1248
CHARGE_association	1224
Spastic_paraplegia_11	1223
Peutz-Jeghers_syndrome	1218
Dystrophin_deficiency	1212
Adams-Oliver_syndrome_5	1212
Juvenile_polyposis_syndrome	1208
Non-ketotic_hyperglycinemia	1199
Alport_syndrome	1192
MYH-associated_polyposis	1189
Wilms_tumor_1	1172
Osteogenesis_imperfecta_type_I	1170
Wilson_disease	1149
Episodic_ataxia_type_2	1134
Erythrocytosis	1130
Perlman_syndrome	1125
Hypocalcemia	1125
Von_Hippel-Lindau_syndrome	1113
Familial_colorectal_cancer	1112
PTEN_hamartoma_tumor_syndrome	1109
Glycogen_storage_disease_type_III	1108
Bare_lymphocyte_syndrome_2	1101
Xeroderma_pigmentosum	1083
Hypobetalipoproteinemia	1079
Leigh_syndrome	1072
Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies)	1070
Breast_and/or_ovarian_cancer	1069
Congenital_stationary_night_blindness	1066
Nephrotic_syndrome	1065
Congenital_contractural_arachnodactyly	1042
Bethlem_myopathy_2	1024
Ullrich_congenital_muscular_dystrophy_2	1022
Periventricular_nodular_heterotopia_1	1020
Microphthalmia	1019
Tumor_susceptibility_linked_to_germline_BAP1_mutations	993
Hereditary_melanoma	993
Leber_congenital_amaurosis	992
Oto-palato-digital_syndrome	991
